Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),Methanol based Ea (kJ/mol)
2.1465,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,50.28825275
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,43.66476281
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,42.42633568
0.6618,Si/S,20.0,Null,0.0,4.304065093,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.682131227,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.682131227,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.584967479,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.333361463,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,42.73350909
1.0398,Si/S,20.0,Null,0.0,4.333361463,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,2.442347035,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,40.25086196
